ita@x it
żeniom@x żeń
ewy@a ewa
gamowi@x gam
orowi ór
nisiem@x niś
undzie@x und
broty@x brót
psk@x psk
iczów@x icz
rydze@a ryga
ler@x ler
taciach@x tać
zzowi@x zz
ęgiem@x ęg
eża@a eża
kitach@x kit
ps@x ps
dykom@x dyk
ntem@x nt
pana@x pan
mfowi@x mf
if@x if
mfy@a mfa
iktach@x ikt
ciowie ć
owych@y owy
bak@a baka
ułę@a uła
miłem@x mił
pinami@x pin
tagiem@x tag
yłach@a yła
topom@x top
lej@a leja
hmom@a hma
boya@y boy
kal@a kala
ójom@a ója
anie@a ana
fokom@x fok
zą z
onogiem@x onóg
ygiem@x yg
eoru@x eor
ewów@w ew
cytem@x cyt
yt@x yt
ntą@a nta
ięgami@x ięg
złach@x zeł
rayu@y ray
mptem@x mpt
hacie@x hat
pór@a pora
ruk@a ruka
ampach@x amp
zny@y zny
ślami@x śl
olami@e ole
rku@o rko
varów@x var
rafie@x raf
ęski@x ęsek
malami@x mal
gogach@x gog
stek@o stko
łomu@x łom
ów a
ogowie@x og
niem ń
amy@a ama
źni@a źnia
pasy@x pas
usta@x ust
łomie@x łom
ens@a ensa
yftowi@x yft
łocią@x łoć
werowi@x wer
jbie@a jba
nałami@x nał
satowi@x sat
elo@a ela
stu@x st
ęsem@x ęs
no@o no
nc@x nc
tusiach@x tuś
hna@a hna
nakowi@x nak
szew@a szwa
dec@x dec
esyj@a esja
kusy@x kus
czemu@y czy
zarem@x zar
atrem@x atr
zolach@x zol
ękami@a ęka
psli@x psel
nuku@x nuk
ęga@a ęga
igle@x igiel
yze@x yz
ędzi@x ędź
odzie ód
synowi@x syn
ondzie@x ond
zaju@x zaj
zoniów@x zoń
iskom@x isk
datami@x dat
dytu@x dyt
jnym@y jny
kwach@a kwa
dasów@x das
odlach@x odel
etkiem@x etek
zura@x zur
oi ój
goł@x goł
ria@x rium
niowi ń
sną@a sna
jto@a jta
ożu@e oże
gorom@x gor
e'owi e
taniach@x tań
yszowi@x ysz
róże@x róż
słów@x sł
tom t
cego@y cy
owiów ów
lenią@x leń
tanowie@x tan
ynom@y yny
mom@x mum
ntymi@y nty
ściowie@x ść
emb@a emba
lądów@x ląd
nty@a nta
yglem@x ygiel
rwami@a rwa
bkowi@x bek
ywków@x ywek
eńki@x eniek
piom@e pie
potowi@x pot
lągów@x ląg
jąc@o jąco
łodów@x łód
slami@x sel
ewach@w ew
tynach@x tyn
kitami@x kit
jcą@a jca
czowi@x cz
buś@a busia
bytowi@x byt
aź@x aź
isiowi@x iś
orom@x or
rąga@x rąg
diów@a dia
ówk@o ówko
nóg@a noga
ztom@a zta
gamami@x gam
mfie@a mfa
namu@x nam
yłku@x yłek
relu@x rel
ltach@a lta
desami@x des
rzą@x rz
elfem@x elf
zutom@x zut
eśka@x esiek
sarach@x sar
pców@a pca
eci@e ecie
nocie@x not
gosami@x gos
er@a era
ola@e ole
okoju@x okój
lexów@x lex
nach@a na
ążemu@y ąży
dra@a dra
żeńcze@x żeniec
dyn@x dyn
iosem@x ios
detem@x det
kołom@x kół
łgą@a łga
aul@x aul
hora@x hor
obie@x ob
cytach@x cyt
morze@x mor
tułami@x tuł
gikiem@x gik
abami@a aba
ząsach@x ząs
rsie@a rsa
asem@x as
ee@e ee
ypki@x ypek
zlami@x zel
erby@x erb
dłom@a dła
otami@x ot
ńsk@o ńsko
ołku@x ołek
koty@x kot
ogę@a oga
eidem@x eid
rty@a rta
regowi@x reg
óg@x óg
almami@x alm
ozem óz
ojem ój
ofowie@x of
konu@x kon
ręgami@x ręg
rtrcie@x rt
eka@a eka
mina@x min
ościach@x ość
śbom@a śba
tałami@x tał
ni@a nia
arzami@x arz
etrom@x etr
nnym@y nny
zku@x zek
jusami@x jus
nenem@x nen
ęzią@x ęź
ryt@x ryt
ywek@a ywka
elce@x elec
włach@x weł
nit@x nit
ystów@x yst
ęta@a ęta
mfów@x mf
unki@x unek
ulcom@x ulec
redów@x red
nisie@x niś
obowi@x ob
uą@a ua
eksami@x eks
nerem@x ner
inach@x in
yfami@x yf
ząbie@x ząb
arem@x ar
cha@x ch
koń@x koń
hozach@x hoz
sku@x sk
zosowi@x zos
genem@x gen
edcach@x edec
ygami@a yga
hodem@x hód
łod@a łoda
udkom@x udek
rdowie@x rd
dzia@x dź
usiowie@x uś
eśku@x esiek
yra@a yra
kopom@x kop
gia@x gium
miami@x mium
nasiami@x naś
krów@x kier
jmom@x jem
jmom@x jm
zańców@x zaniec
ossami@x oss
zopy@x zop
era@o ero
etrowi@x etr
ynach@a yna
nca@x nc
rętach@x ręt
iejom@x iej
ept@x ept
ackami@x acek
danowi@x dan
kapom@x kap
farowi@x far
gerów@x ger
ltry@x ltr
zyn@a zyna
osiom@x oś
kalach@x kal
ji@a ja
inie@a ina
iutem@x iut
olą ól
łci@x łeć
uń@x uń
lca@x lec
gosom@x gos
atw@a atwa
uzom@a uza
ekowi@x ek
iefami@x ief
fatowi@x fat
jle@x jl
erkami@x erek
balów@x bal
uetach@x uet
om e
cokom@x cok
dałowi@x dał
essami@x ess
mic@a mica
damem@x dam
lchu@x lch
ńcom@e ńce
otę@a ota
fasie@x fas
łanem@x łan
abach@x ab
akrzy@x akier
głowach@w głów
uwie@w uw
ocu@x oc
nicy@x nik
isę@a isa
ansem@x ans
eowi e
rocie@x rót
nczy@x ncz
pią@a pia
yktami@x ykt
rą@a ra
ałkiem@x ałek
cycie@x cyt
źnia zień
runy@x run
wetowi@x wet
domach@x dom
imku@x imek
nasie@x nas
torze@x tor
achowi@x ach
eya@y ey
apach@x ap
wia@e wie
ipsowi@x ips
noce@x noc
siami@e sie
tr@o tro
lahom@x lah
dzy g
ligu@x lig
uga@x ug
drkom@x drek
ewami@w ew
ekom@a eka
ueli@x uel
kim@a ka
ustów@x ust
zycie@x zyt
błom@o bło
łdy@x łd
geą@a gea
nocach@x noc
rojem@x rój
dus@x dus
ptach@x pt
hle@o hło
nisiowi@x niś
gnu@o gno
kie@e kie
dańca@x daniec
eńcem@x eniec
mpla@x mpel
ambom@x amb
iglu@x igiel
itowie@x it
rea@a rea
mżo@a mża
runiu@x ruń
resem@x res
aelów@x ael
eko@o eko
rlem@x rl
busami@x bus
ast@x ast
esiom@x eś
lcy@a lca
renowie@x ren
kop@x kop
zin@a zina
iega@x ieg
ersem@x ers
ldach@x ld
stą@a sta
nitów@x nit
wcom@x wiec
zią ź
wodu@x wód
sły@a sła
cińcem@x ciniec
mbry@x mber
mbry@x mbr
szlowi@x szel
atach@y aty
ier@a iera
byk@x byk
łdę@a łda
fonom@x fon
erom@x er
aklach@x akl
cenowi@x cen
nowy@w nów
fiki@x fik
bidzie@x bid
godzy@x gog
ryfem@x ryf
edów@a eda
haje@x haj
ęża ąż
tnej@a tna
loków@x lok
mmą@a mma
oks@x oks
antami@x ant
ółki@x ółek
ios@x ios
awami@w aw
lnami@a lna
tyn@x tyn
siami ś
wrom@x wr
ybie@x yb
lesa@x les
nnych@y nny
łazach@x łaz
ebem@o ebo
pułowi@x puł
tek@o tko
raju@x raj
aktowi@x akt
wnom@o wno
ońcu@x oniec
niach@e nie
biorów@x biór
ęgów@x ęg
kicowi@x kic
deje@x dej
pezu@x pez
ykiem@x yk
lewem@w lew
jdy@a jda
wonem@x won
ąsze@a ącha
dęć@e dęcie
żli@x żel
wkom@o wko
oki@x ok
kur@x kur
ałowie@x ał
ganom@x gan
szego@y szy
atami@x at
lazów@x laz
odami ód
ormy@x orm
fona@x fon
czniami@x czeń
eb@x eb
iołów@x ioł
ngowie@x ng
rymom@x rym
ęgami@a ęga
veru@x ver
siętami@x się
adkiem@x adek
tcie@o to
ylcami@x ylec
zkiemu@x zki
rlowi@x rl
kom@x ki
zdowi@x zd
óżach@e óże
zenom@x zen
urmach@x urm
gwiami@w giew
ot@y oty
aosom@x aos
lerowie@x ler
rbce@x rbiec
lpy@a lpa
żcom@a żca
bach@y by
dejami@x dej
netowi@x net
osu@x os
rębami@x ręb
tukiem@x tuk
rgo@a rga
rgle@x rgiel
yńce@x yniec
relem@x rel
zunach@x zun
esz@x esz
ektom@x ekt
winem@x win
ań@a ania
szcze@x szec
jorowi@x jor
ętach ę
iżu@x iż
ceami@x ceum
wańcy@x waniec
tuzami@x tuz
pid@x pid
ążami@a ąża
nocami@x noc
wus@x wus
zoń@x zoń
tetowi@x tet
nże@a nża
ąg ęga
tekowi@x tek
arka@x arek
zajowi@x zaj
łupie@x łup
farów@x far
eśniom@x eśń
aurach@x aur
loci@a lota
oe o
pco@a pca
rozach@x róz
zybom@x zyb
iglach@x igiel
cinem@x cin
mnami@a mna
jemami@x jem
karze@x kar
dasiowie@x daś
otu ót
afom@a afa
uesa@x ues
ysta@x yst
chrów@x cher
ecce@a ecka
elmowi@x elm
lką@a lka
wil@a wila
rpie@x rp
idowie@x id
echom@x ech
arp@x arp
eła@o eło
oikiem@x oik
du d
mi@e mie
cjach@a cja
wabie@x wab
łach ł
rm@x rm
łwo@a łwa
bonem@x bon
itkach@x itek
włowie@x weł
mkiem@o mko
lemowi@x lem
chrem@x cher
łami@a ła
airu@x air
ik@x ik
halom@x hal
ckiego@x cki
zęby@x ząb
telów@x tel
ayu@y ay
janach@x jan
ęk@a ęka
aura@x aur
trkowi@x trek
det@x det
onami ę
dniowi@x dzień
zar@x zar
edziom@x edź
eniach@x eń
licie@a lita
llom@o llo
nina@x nin
zińcami@x ziniec
sztami@x szt
blów@e ble
igom@a iga
beków@x bek
cami@o co
żeniowi@x żeń
pary@x par
tu@o tko
tarowi@x tar
je@a ja
ajnie@x ajn
rm@a rma
yru@x yr
ryki@x ryk
mzo@a mza
eto@a eta
nonom@x non
tep@x tep
ózkowi@x ózek
jusy@x jus
rmu@x rm
nglach@x ngiel
jowi j
ylkach@x ylek
biście@a bista
uy@a ua
ice@x ic
usiami@x uś
lny@a lna
norowi@x nor
mpami@o mpo
rkiem@o rko
ien@a iena
ręgi@x rąg
zin@x zin
roście@a rosta
ytów@x yt
udę@a uda
tawami@w taw
accy@x acki
rfowi@x rf
wirem@x wir
tusiami@x tuś
rosach@x ros
sądu@x sąd
żom ż
ocy@x oc
oco@a oca
omowi@x om
cach@a ca
ackom@x acek
zeć@x zeć
nirów@x nir
yktowi@x ykt
ońce@x oniec
gas@x gas
jków@x jek
pilów@x pil
ltu@o lto
bak@x bak
biu b
once@a onka
tn@o tno
eę@a ea
outowi@x out
dyl@x dyl
zwoju@x zwój
asami@x as
lexy@x lex
waty@x wat
iem@e ie
rami@y ry
zuty@x zut
ryfu@x ryf
tlach@e tle
carowi@x car
rej@x rej
nzlom@x nzel
mlami@a mla
nów@x nin
by b
aju@x aj
lusowi@x lus
akowach@w aków
erów@a era
zca@x zec
mykiem@x myk
orzem@x orz
ap@x ap
red@x red
num@x num
nzo@a nza
kasami@x kas
oksu@x oks
lftami@x lft
ożę@a oża
ązkowi@x ązek
ybami@a yba
picie@x pit
czom@o czo
żyć@e życie
rsze@x rsz
nni@y nny
ptu@x pt
bięta@x bię
abowi@x ab
ętków@x ętek
venów@x ven
rami@o ro
yzgu@x yzg
ekiem@o eko
urmy@x urm
odźce@x odziec
wigu@x wig
fałami@x fał
nukiem@x nuk
awkach@x awek
pelów@x pel
nałom@x nał
urgom@x urg
usa@x us
żkiem@x żek
risowi@x ris
uwy@a uwa
ckich@x cki
lądem@x ląd
ajle@o ajło
źcy ziec
łtek@a łtka
wel@a wela
bara@x bar
katem@x kat
trzach@x trz
minami@x min
iwkowi@x iwek
czb@a czba
dżą@a dża
bila@x bil
ścami siec
eżki@x eżek
trzom@x trz
gów g
delu@x del
lajowi@x laj
olfem@x olf
łaz@x łaz
se s
nto@a nta
etru@x etr
ewodowi@x ewód
eid@a eida
ęg@x ęg
cucie@x cut
rke@a rka
ysiami@x yś
ącie@o ąco
foku@x fok
amki@x amek
żejami@x żej
hatem@x hat
pkom@x pek
spa@a spa
ęść@e ęście
wk@o wko
foz@a foza
samie@x sam
binach@x bin
ilu@x il
ieciowi@x ieć
romowi@x rom
wody@x wód
jarowi@x jar
iągom@x iąg
hoła@x hoł
rymów@x rym
zęcie@x zęt
ontami@x ont
hwią@w hew
ęs@x ęs
znami@a zna
hej@x hej
ietowi@x iet
rusach@x rus
firowi@x fir
erć@x erć
lsnem@x lsen
goniami@x goń
łowiowi@w łów
jmem@x jem
jmem@x jm
iągi@x iąg
ejtowi@x ejt
dakach@x dak
ałom@o ało
patów@x pat
somowi@x som
pilem@x pil
ochy@x och
axom@x ax
feny@x fen
ambie@x amb
żeniami@x żeń
istom@x ist
yczom@x ycz
wrę@a wra
ofla@x ofel
ężach ąż
ółkom@x ółek
saże@x saż
rg@o rgo
zgo@a zga
eye@y ey
jzami@a jza
mole@a moła
wery@x wer
gwie@a gwa
óju@x ój
iach@x ium
mesem@x mes
hlą@a hla
zgami@x zg
hotami@x hot
szę@x szę
ran@a rana
cjami@x cjum
szemu@y szy
isi@a isia
jfach@x jf
ywcach@x ywiec
mplu@x mpel
asom@a asa
czniom@x czeń
petów@x pet
ertach@x ert
nirach@x nir
kosie@x kos
ksem@x ks
lam@x lam
arom@y ary
donie@x don
dole@a doła
ody@a oda
tonami@x ton
ubce@a ubka
zolem@x zol
isa@a isa
ugowi@x ug
bom@y by
chle@o chło
yklom@x ykl
yle@x yl
hajem@x haj
ogach óg
klach@a kla
bików@x bik
ronią@x roń
zmie@a zma
śćcu@x ściec
ongach@x ong
ge@a gea
pedami@x ped
som@a sa
bięciu@x bię
putom@x put
ągiem@x ąg
eżu@e eże
uesom@x ues
senu@x sen
ozowi óz
omom@x om
ysie@a ysa
ytek@x ytki
lekach@x lek
nyki@x nyk
ołków@x ołek
ypkach@x ypek
bscy@x bski
stkiem@x stek
il@x il
czami@o czo
ędzią@x ędź
oniów@x oń
anci@x ant
lmy@a lma
zyk@a zyka
skom@x sk
blami@x bel
ulkiem@x ulek
gosy@x gos
ure@e ure
ięta@x ię
betom@x bet
ftami@x ft
encowi@x enc
ersowi@x ers
gmo@a gma
dynów@x dyn
nka@x nek
miem@e mie
eł@x eł
iom i
tywom@w tyw
odzy@x og
zmy@x zm
nitem@x nit
żanami@x żan
losowi@x los
chrom@x cher
wecie@a weta
nykami@x nyk
ęcie@a ęta
jda@a jda
oltami@x olt
otom@a ota
iemami@x iem
ermom@x erm
hodów@x hód
mfom@x mf
łku@x łek
lem@o lo
ity@x it
urn@x urn
dzach@a dza
zynom@x zyn
lawowi@w law
tym@a ta
zanem@x zan
nenowi@x nen
blom@e ble
plem@x pel
dką@a dka
rnią@x rń
ckom@o cko
ajdzie@x ajd
cusiem@x cuś
hel@a hla
pciami@x peć
tyrów@x tyr
finowi@x fin
lisi@x lis
bikach@x bik
husom@x hus
ngach@x ng
dr@a dra
yżowi@x yż
ttach@x tt
gazom@x gaz
cery@x cer
rach@y ry
edem@x ed
malowi@x mal
gmom@a gma
texy@x tex
eu e
oidzie@x oid
obami@y oby
ustowie@x ust
edo@a eda
taw@w taw
orowi@x or
ong@x ong
elcy@x elec
oślom@x ośl
oć@x oć
zyty@x zyt
rzo@a rza
ernom@x ern
żiu@o żio
złom@x zeł
ebą@a eba
ylku@x ylek
laę@y lay
usowie@x us
idek@a idka
łąkowi@x łąk
łasie@x łas
rnego@y rny
askami@x ask
atami@a ata
jnemu@y jny
hajami@x haj
rali@x ral
cjów@x cjum
kałom@x kał
tykach@x tyk
ióba@x iób
ntów@a nta
łanami@x łan
igą@a iga
erk@x erk
ay@y ay
jlowi@x jl
jmów@x jem
jmów@x jm
ernów@x ern
patowi@x pat
dka@o dko
owiom ów
uksem@x uks
aksom@x aks
ędowi@x ęd
korom@x kor
dyli@x dyl
ndim@x ndi
fatów@x fat
eps@x eps
jście@a jsta
bil@x bil
frami@x fer
wera@x wer
halach@x hal
iny@y iny
rusiach@x ruś
kom k
ńcami@e ńce
mku@x mek
eszu@x esz
isem@x is
nzach@a nza
ząsów@x ząs
itra@x itr
snom@o sno
kety@x ket
zębia@x ząb
fotami@x fot
wkach@x wek
nonu@x non
linie@x lin
czów@o czo
ęb@x ęb
idrowi@x ider
oka@o oko
sala@x sal
owiach ów
bilom@x bil
lchy@x lch
tię@a tia
mami@o mo
rciach@x rć
lla@a lla
laże@x laż
ajami@a aja
buty@x but
wecie@x wet
apki@x apek
iną@a ina
rsli@x rsel
kejach@x kej
emach@x em
wyk@x wyk
rybów@x ryb
bokiem@x bok
odniami@x odzień
ywcy@x ywiec
ęgom@x ęg
auzów@x auz
eorami@x eor
bicach@x bic
dynowi@x dyn
besem@x bes
rąb@x rąb
llu@o llo
jsach@x js
emów@a emowa
varze@x var
miach@x mium
dylów@x dyl
ętku@x ętek
eena@x een
jta@x jt
rpach@a rpa
cje@e cje
lukom@x luk
teziami@x teź
łdom@x łd
yszów@x ysz
wikach@x wik
egowie@x eg
cki@a cka
rfów@x rf
entowi@x ent
ąk@x ąk
remie@x rem
oczowi@x ocz
ownami@x own
polów@x pol
pry@a pra
nzlowi@x nzel
kwami@a kwa
flom@x fel
hciowi@x heć
e'em e
lejach@x lej
aziom@x aź
ssnom@x ssen
gla@x giel
wek@o wko
opem@x op
ynach@y yny
jotami@x jot
jatem@x jat
ramie@x ram
ęzły@x ęzeł
apy@x ap
życ@x życ
rekami@x rek
azdem@x azd
so@a sa
ilmowi@x ilm
chrach@x cher
ędy@x ęd
iołach@x ioł
kty@x kt
ieciom@x ieć
bla@x bel
werach@x wer
fot@x fot
repie@x rep
dunów@x dun
ska@o sko
ałkom@x ałek
oro@a ora
ół oła
ówa@a ówa
uną@a una
afek@a afka
łdów@x łd
iotach@x iot
mem@o mo
zęba@x ząb
skach@x sk
sonach@x son
osty@x ost
tyści@a tysta
dwom@a dwa
łańcem@x łaniec
misu@x mis
łżów@x łż
olami@a ola
beł@o bło
hejach@x hej
birów@x bir
prach@x per
cikowie@x cik
naków@x nak
tylowi@x tyl
talami@x tal
tuzie@x tuz
dalu@x dal
capu@x cap
łesem@x łes
leniami@x leń
laye@y lay
tud@a tuda
ntów@x nt
uanami@x uan
wykiem@x wyk
uwę@a uwa
farze@x far
opkowi@x opek
apsów@x aps
ożców@x ożec
gusiami@x guś
ejsach@x ejs
eździe azd
obkowi@x obek
pela@x pel
becie@x bet
iwrze@x iwer
dżr@a dżra
demach@x dem
odzią ódź
ceów@x ceum
hurze@x hur
nisiu@x niś
pusach@x pus
jaka@x jak
ladów@x lad
berze@x ber
tra@o tro
yt@o yto
ertowi@x ert
petu@x pet
zęd@a zęda
tyka@x tyk
vum@x vum
tek@a tka
tumów@x tum
rytów@x ryt
aw@a awa
wasu@x was
kenach@x ken
achów@x ach
ina@a ina
zędu@x ząd
badom@x bad
burze@x bur
engach@x eng
izami@x iz
dych@y dy
tar@a tara
omom@a oma
nemy@x nem
odkowi@x odek
tnu@o tno
yłkom@x yłek
zejach@x zej
tosowi@x tos
adach@x ad
hta@a hta
lchowi@x lch
ykami@a yka
wd@a wda
itce@a itka
ilów@x il
obojom@x obój
sąd@x sąd
klami@x kiel
łtami@x łt
nerach@x ner
oł@a oła
lągami@x ląg
ułach@x uł
zikowie@x zik
bity@x bit
gma@a gma
tomowi@x tom
gorem@x gor
twca@x twiec
pika@x pik
cik@x cik
óżami@x óż
akom@o ako
zukami@x zuk
nżą@a nża
widami@x wid
asom@x as
gos@x gos
tła@o tło
fr@x fr
exami@x ex
undach@x und
iz@x iz
ielą@x iel
peli@x pel
renów@x ren
gw@a gwa
źnej@a źna
opę@a opa
goru@x gor
ciami@o cio
nktowi@x nkt
usiom@x uś
irę@a ira
rd@a rda
izy@a iza
achowie@x ach
śli@e śle
łę@a ła
ułkach@x ułek
ębkiem@x ębek
at@x at
aźnie@x aźń
żetem@x żet
zolami@x zol
ełki@x ełek
ijek@a ijka
bicami@x bic
ejsy@x ejs
hozami@x hoz
uży@x uż
elek@a elka
órze@x ór
chowa@w chów
cza@a cza
radami@x rad
ryl@x ryl
eskom@x esek
eskom@x esk
usami@x us
senach@x sen
zydzie@x zyd
rciami@x rć
deków@x dek
awie@a awa
eniek@a eńka
burom@x bur
ftem@x ft
lacie@a lata
ydowi@x yd
chodowi@x chód
agrami@x agier
onogów@x onóg
azdu@x azd
rb@x rb
milem@x mil
rw@a rwa
ysle@x ysł
isów@x is
ałą@a ała
nzlami@x nzel
ygu@x yg
entu@x ent
rayom@y ray
ędź@x ędź
roru@x ror
łusa@x łus
dała@x dał
urdzy@x urg
ęsku@x ęsek
keyom@y key
tusa@x tus
bol@x bol
iściach@x iść
ływu@w ływ
zeziem@x zeź
aba@a aba
yf@a yfa
szcami@x szec
eków@x ek
ninie@x nin
ale@a ala
dcach@x dec
statów@a sta
dkę@a dka
uały@x uał
buzów@x buz
pusie@x pus
zwy@a zwa
elą@a ela
eałom@x eał
sany@x san
yłu@x ył
zetom@x zet
iarach@x iar
iści@x iść
anów@x an
bzy@a bza
zu@e ze
lajami@x laj
hol@x hol
aksu@x aks
ybami@x yb
lomu@x lom
woi@a woja
onsem@x ons
uzach@x uz
dzi d
źnego@y źny
linach@x lin
dco@a dca
kście@x kst
urowi@x ur
istem@x ist
ńcach niec
tez@a teza
obru@x ober
ossie@x oss
rbcach@x rbiec
cjach@x cjum
ędami@a ęda
any@x an
usie@a usa
eidowi@x eid
zynu@x zyn
łuku@x łuk
owcem@x owiec
celowi@x cel
zubami@x zub
ymi y
zcz@e zcze
ilce@a ilka
bioru@x biór
wcom@a wca
ahem@x ah
mach@a ma
ozom@a oza
rafu@x raf
zyra@x zyr
murze@x mur
ukowie@x uk
acy@y acy
rysze@a rycha
tata@x tat
ipsa@x ips
iądzie@x iąd
foby@x fob
wa@o wo
typów@x typ
pisów@x pis
ruń@x ruń
ręb@x ręb
dżowie@a dża
wowi w
kach@x ki
urów@a ura
tynem@x tyn
midach@x mid
doru@x dór
zękom@x zęk
idra@x ider
riów@a ria
opka@x opek
opa@x op
nkcie@x nkt
new@w new
tykowi@x tyk
uł@x uł
użki@x użek
rpcowi@x rpec
yfom@a yfa
yskowi@x ysk
ik@o iko
iol@x iol
iemów@x iem
ingami@x ing
miona@x mię
ajdów@x ajd
mecie@a meta
ury@y ury
łokach@x łok
kołowi@x kół
ępę@a ępa
ickom@x ick
airach@x air
cku@x ck
cku@x cek
itzami@x itz
łagi@x łag
óje@x ój
bałowi@x bał
ałów@x ał
wków@x wek
żki@x żek
ald@x ald
cpie@a cpa
ębiem ąb
inki@x inek
er@o ero
tagami@x tag
psyj@a psja
hałom@x hał
oży@a oża
lutu@x lut
bicowi@x bic
kro@a kra
żetów@x żet
zasowi@x zas
oją@a oja
uja@a uja
tla@x tel
złów@x zeł
uk@x uk
ożku@x ożek
ląty@x ląt
ent@a enta
zańca@x zaniec
dów d
ilem@x il
estowi@x est
tizach@x tiz
rągowi@x rąg
omę@a oma
ila@a ila
aos@x aos
lgi@a lga
pcze@x piec
ółu@o ółko
pitu@x pit
łodzie@x łód
dorowie@x dor
łupy@x łup
awów@w aw
eśkami@x esiek
mary@x mar
rdach@a rda
sorami@x sor
j a
eonami@x eon
iłę@a iła
sypie@x syp
cami@y cy
dena@x den
rbcze@x rbiec
ej a
dców@x dec
oru@o oro
oru@o orko
daży@x daż
emcze@x emiec
visom@x vis
iny@a ina
erbom@x erb
gód@a goda
dek@a dka
lonu@x lon
wusom@x wus
giach@a gia
ułki@x ułek
chem@o cho
husa@x hus
etku@x etek
dów@o do
zcowi@x ziec
wio@a wia
taf@x taf
rbą@a rba
ywa@o ywo
ęsów@x ęs
ferów@x fer
ronami@x ron
łkami@x łek
rytami@x ryt
ul@x ul
gala@x gal
kty@a kta
elce@a elka
ałku@x ałek
epkiem@x epek
iok@x iok
sażu@x saż
uśce@x usiec
horach@x hor
esek@a eska
bińcu@x biniec
natach@x nat
ajami@x aj
ion@a iona
upcami@x upiec
dnami@o dno
opcze@x opiec
jtkowi@x jtek
ceńcom@x ceniec
peny@x pen
ajów@x aj
ycami@x yc
enkom@x enek
ąz@x ąz
urtem@x urt
yi@a yja
ittowi@x itt
ępki@x ępek
os@o oso
dos@x dos
enkiem@x enek
binie@x bin
dnymi@y dny
del@a dela
łatowi@x łat
ółem@x ół
ren@x ren
obach ób
dosów@x dos
rekom@x rek
eksa@x eks
twy@a twa
dży@e dże
syn@x syn
tępami@x tęp
nek@x nek
ożcze@x ożec
iwku@x iwek
layem@y lay
rycie@a ryta
hciom@x heć
ziach@e zie
skiem@x sk
upom@x up
aże@x aż
nez@x nez
chciu@x cheć
capem@x cap
apach@a apa
rąbom@x rąb
alku@x alek
stkowi@x stek
zykami@x zyk
czniowi@x czeń
malach@x mal
bitach@x bit
eczowi@x ecz
loty@x lot
lwą@a lwa
hcia@x heć
ysłach@x ysł
amsu@x ams
enty@x ent
tesach@x tes
wańcach@x waniec
bom@o bo
amsy@x ams
oby@a oba
yr@a yra
nac@a nacja
wany@x wan
var@x var
upca@x upiec
itty@x itt
vom@x vum
afa@x af
an@o ano
nięta@x nię
boyu@y boy
coków@x cok
rele@x rel
ontach@x ont
nakami@x nak
ępom@x ęp
zoru@x zór
etnia@x ecień
iwkiem@x iwek
erciami@x erć
łny@a łna
sztów@x szt
ozami óz
iewy@w iew
yszom@x ysz
